Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Collision Type Description,Weather Description,Illumination Description,Street Address,City,State,Precinct,Lat,Long,HarmfulCodes,HarmfulDescriptions,ObjectId,Zip Code,RPA,Weather,IlluACCIDEmination,Collision Type,Reporting Officer,x,y
20180001231,1/1/2018 7:43:00 PM,2,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,ANDREW JACKSON PKWY & WEBER RD,HERMITAGE,TN,HERMIT,36.19629,-86.60853,12,MOTOR VEHICLE IN TRANSPORT,52,37076,9509,21,1,11,226207,-9641217.458,4327664.2961
20180001237,1/1/2018 7:47:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,GALLATIN PKEN & RIVERGATE MARKETPLACE PV,MADISON,TN,MADISO,36.30385,-86.69025,12,MOTOR VEHICLE IN TRANSPORT,53,37115,1731,21,1,4,279223,-9650314.4867,4342511.6132
20180001244,1/1/2018 7:51:00 PM,2,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,ANDREW JACKSON PKWY & OLD HICKORY BLVD,HERMITAGE,TN,HERMIT,36.18389,-86.61051,12,MOTOR VEHICLE IN TRANSPORT,54,37076,9561,21,1,11,262757,-9641437.8705,4325953.9431
20180001259,1/5/2018 12:34:00 AM,2,1,0,,N,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,OLD HICKORY BLVD & CENTRAL PKE,HERMITAGE,TN,HERMIT,36.17323,-86.60206,12,MOTOR VEHICLE IN TRANSPORT,55,37076,9557,21,1,5,256371,-9640497.2208,4324483.8076
20180001276,1/1/2018 8:24:00 PM,2,0,0,,Y,ANGLE,CLEAR,DAYLIGHT,ELLISTON PL & 24TH AVN,NASHVILLE,TN,MIDTOW,36.14866,-86.80704,12,MOTOR VEHICLE IN TRANSPORT,56,37203,5615,21,1,4,584947,-9663315.4901,4321096.0862
20180001278,1/1/2018 8:25:00 PM,2,1,0,,N,Front to Rear,CLEAR,DAYLIGHT,353 HARDING PL,NASHVILLE,TN,SOUTH,36.08441,-86.70509,12,MOTOR VEHICLE IN TRANSPORT,57,37211,8705,21,1,11,279230,-9651966.468,4312242.2825
20180001314,1/1/2018 9:10:00 PM,2,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,WOODLAND ST & N 14TH ST,NASHVILLE,TN,EAST,36.17715,-86.74577,12,MOTOR VEHICLE IN TRANSPORT,58,37206,1239,21,1,11,151130,-9656494.9449,4325024.397
20180001362,1/1/2018 6:00:00 AM,2,0,0,,Y,SIDESWIPE - SAME DIRECTION,CLOUDY,DAYLIGHT,MURFREESBORO PKE & BELL RD,ANTIOCH,TN,SOUTH,36.07231,-86.63661,55,Motor Vehicle-In-Motion Outside Trafficw,59,37013,8861,22,1,5,197056,-9644343.3093,4310575.6836
20180001461,1/1/2018 10:00:00 PM,1,0,0,,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,BELL RD & HARBOR LIGHTS DR,NASHVILLE,TN,HERMIT,36.0949,-86.62488,24,GUARDRAIL FACE,60,37217,8987,21,1,0,240967,-9643037.5316,4313687.3349
20180001557,1/1/2018 10:42:00 PM,1,0,0,,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DUSK,HIGHWAY 100 & HIGHWAY 96,NASHVILLE,TN,WEST,36.01543,-87.03676,50,DEER (ANIMAL),61,37221,4805,21,5,0,596389,-9688887.8035,4302744.724
20180001599,1/1/2018 6:00:00 AM,2,1,0,,N,ANGLE,CLEAR,DARK - LIGHTED,28TH AVN & CHARLOTTE AV,NASHVILLE,TN,MIDTOW,36.15396,-86.81822,12,MOTOR VEHICLE IN TRANSPORT,62,37209,5341,21,3,4,197070,-9664560.042,4321826.7625
20180001626,1/1/2018 11:03:00 PM,2,0,0,,N,ANGLE,CLEAR,DUSK,8TH AVS & EAST ARGYLE AV,NASHVILLE,TN,MIDTOW,36.13588,-86.77895,12,MOTOR VEHICLE IN TRANSPORT,63,37203,6901,21,5,4,240957,-9660188.5256,4319334.3943
20180001639,1/1/2018 11:12:00 PM,2,0,0,,N,,,,MM 95 3 I 65,GOODLETTSVILLE,TN,MADISO,36.3021,-86.70996,,,64,37072,2104,,,,151132,-9652508.5939,4342269.8838
